TS time deltat Energy E1 E2 Dissipation Trd volume area area_n E3 Lat_area Epress E_tension1 E_tension2 E_tension3 pressure Zmax stress strain totBonds
370 0.0398056 0.000412077 3.70801 1.67722 1.43173 4.35038e-05 1.06993 0.0817559 1.06993 0.81594 0.59906 0.544229 -14.2168 4.0797 4.0797 2.72016 -193.199 1 0 0 0.81594
375 0.041908 0.000433313 3.83047 1.73358 1.48276 4.10879e-05 1.0751 0.0828607 1.0751 0.81594 0.614127 0.543245 -14.5913 4.0797 4.0797 2.71524 -195.939 1 0 0 0.81594
380 0.0441188 0.000455644 3.95309 1.78997 1.53399 3.88084e-05 1.08028 0.0839656 1.08028 0.81594 0.629128 0.542268 -14.9653 4.0797 4.0797 2.71037 -198.616 1 0 0 0.81594
385 0.0464435 0.000479126 4.07561 1.84625 1.58531 3.66576e-05 1.08548 0.0850704 1.08548 0.81594 0.644051 0.5413 -15.3382 4.0797 4.0797 2.70554 -201.226 1 0 0 0.81594
390 0.048888 0.000503818 4.19776 1.90228 1.6366 3.46281e-05 1.09071 0.0861752 1.09071 0.81594 0.658883 0.540339 -15.7096 4.0797 4.0797 2.70074 -203.764 1 0 0 0.81594
395 0.0514585 0.000529783 4.31924 1.9579 1.68773 3.2713e-05 1.09594 0.08728 1.09594 0.81594 0.673613 0.539386 -16.0788 4.0797 4.0797 2.69598 -206.225 1 0 0 0.81594
400 0.0541615 0.000557086 4.43972 2.01295 1.73855 3.09058e-05 1.1012 0.0883848 1.1012 0.81594 0.688226 0.538441 -16.4451 4.0797 4.0797 2.69127 -208.602 1 0 0 0.81594
405 0.0570038 0.000585796 4.55887 2.06725 1.78891 2.92005e-05 1.10648 0.0894896 1.10648 0.81594 0.702711 0.537504 -16.8078 4.0797 4.0797 2.68659 -210.891 1 0 0 0.81594
410 0.0599925 0.000615985 4.67631 2.12061 1.83865 2.75912e-05 1.11177 0.0905944 1.11177 0.81594 0.717053 0.536574 -17.1661 4.0797 4.0797 2.68194 -213.084 1 0 0 0.81594
415 0.0631353 0.00064773 4.79166 2.17282 1.88759 2.60726e-05 1.11708 0.0916992 1.11708 0.81594 0.731241 0.535652 -17.5193 4.0797 4.0797 2.67734 -215.176 1 0 0 0.81594
420 0.06644 0.000681112 4.90449 2.22368 1.93555 2.46396e-05 1.12241 0.092804 1.12241 0.81594 0.74526 0.534737 -17.8665 4.0797 4.0797 2.67278 -217.159 1 0 0 0.81594
425 0.0699151 0.000716213 5.01436 2.27294 1.98232 2.32874e-05 1.12776 0.0939088 1.12776 0.81594 0.759096 0.53383 -18.2068 4.0797 4.0797 2.66825 -219.026 1 0 0 0.81594
430 0.0735692 0.000753124 5.12079 2.32037 2.02768 2.20113e-05 1.13313 0.0950137 1.13313 0.81594 0.772737 0.53293 -18.5392 4.0797 4.0797 2.66376 -220.769 1 0 0 0.81594
435 0.0774117 0.000791936 5.22328 2.36569 2.07142 2.08073e-05 1.13852 0.0961185 1.13852 0.81594 0.786168 0.532038 -18.8627 4.0797 4.0797 2.6593 -222.381 1 0 0 0.81594
440 0.0814522 0.000832749 5.3213 2.40864 2.11329 1.96713e-05 1.14393 0.0972233 1.14393 0.81594 0.799374 0.531153 -19.1763 4.0797 4.0797 2.65489 -223.852 1 0 0 0.81594
445 0.0857009 0.000875666 5.41428 2.44892 2.15302 1.85995e-05 1.14936 0.0983281 1.14936 0.81594 0.812342 0.530276 -19.4787 4.0797 4.0797 2.65051 -225.174 1 0 0 0.81594
